instruction,input,output
Who or what is Ken Taylor?,,"SHEMIRANAT (TEHRAN) - DAY 180 Ken Taylor drives up to a nice, but not huge, home in the expatdiplomatic neighborhood of Tehran."
Who or what is Tehran?,,"- DAY 180 Ken Taylor drives up to a nice, but not huge, home in the expatdiplomatic neighborhood of Tehran."
What is the main point about SHEMIRANAT?,,"SHEMIRANAT (TEHRAN) - DAY 180 Ken Taylor drives up to a nice, but not huge, home in the expatdiplomatic neighborhood of Tehran."
What is the main point about gates?,,Automatic gates open.
What is the main point about EXT.INT?,,181 EXT.INT.
Who or what is Taylor?,,CANADIAN AMBASSADOR'S RESIDENCE - DAY 181 Taylor leads Mendez inside.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - DAY 181 Taylor leads Mendez inside.
Who or what is Pat Taylor?,,Pat Taylor waits for them in the hall.
What is the main point about Pat?,,Pat Taylor waits for them in the hall.
Who or what is Takes Tony's?,,Takes Tony's hand.
What is the main point about Tony?,,Takes Tony's hand.
Who or what is INT?,,182 INT.
What is the main point about INT?,,182 INT.
Who or what is HOUSEGUESTS?,,CANADIAN AMBASSADOR'S RESIDENCE (TEHRAN) - DAY 182 They enter the LIVING ROOM... and here are the SIX HOUSEGUESTS.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE (TEHRAN) - DAY 182 They enter the LIVING ROOM... and here are the SIX HOUSEGUESTS.
Who or what is Mendez?,,They're looking at Mendez like kids waiting to be told the lesson plan.
What is the main point about Mendez?,,They're looking at Mendez like kids waiting to be told the lesson plan.
Who or what is INT?,,183 INT.
What is the main point about INT?,,183 INT.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 183 NIGHT Each Houseguest has a copy of the ARGO script.
What is the main point about BOB?,,BOB ANDERS It's theater of the absurd.
What is the main point about MARK?,,MARK LIJEK What are the chances? MENDEZ The chances are good.
What is the main point about MARK?,,MARK LIJEK What's the number value of good'? 30 percent chance of success? 80 percent? CORA LIJEK We just -- BOB ANDERS What was the objection to picking normal cover identities? MENDEZ There are no Canadians in the country for normal reasons.
Who or what is KATHY STAFFORD MARK?,,KATHY STAFFORD MARK LIJEK They'll sniff us out The Swedish consul said regardless.
What is the main point about KATHY?,,KATHY STAFFORD MARK LIJEK They'll sniff us out The Swedish consul said regardless.
When did the events related to an hour occur?,,they accused him of being an American at the airport and held him for an hour.
What is the main point about American?,,they accused him of being an American at the airport and held him for an hour.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 70.
What is the main point about CONTINUED?,,183 CONTINUED: 183 BOB ANDERS We can't stand up to that.
What is the main point about hell?,,We don't know what the hell movie people do.
What is the main point about MENDEZ?,,MENDEZ That's why I'm here.
What is the main point about CORA?,,CORA LIJEK Have you gotten people out this way before? MENDEZ This would be a first.
What is the main point about CUT?,,CUT TO: 184 INT.
Who or what is HOUSEGUESTS?,,"CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 184 NIGHT THE HOUSEGUESTS -- minus J and Kathy Stafford, go into the living room."
Who or what is Kathy Stafford?,,"CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 184 NIGHT THE HOUSEGUESTS -- minus J and Kathy Stafford, go into the living room."
What is the main point about AMBASSADOR?,,"CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 184 NIGHT THE HOUSEGUESTS -- minus J and Kathy Stafford, go into the living room."
What is the main point about Mendez?,,Mendez stays in his seat; J approaches him.
What is the main point about J?,,"J STAFFORD KATHY STAFFORD Do you know that every ... J, don't."
What is the main point about day?,,day...
What is the main point about J?,,J STAFFORD ...
When did the events related to every day occur?,,every day they catch another friend of the shah at the airport.
What is the main point about day?,,every day they catch another friend of the shah at the airport.
What is the main point about Kangaroo?,,Kangaroo trials then firing squads.
What is the main point about names?,,Just for having American names in their phone books.
Who or what is Mendez?,,He puts the Iranian newspaper in front of Mendez.
What is the main point about newspaper?,,He puts the Iranian newspaper in front of Mendez.
When did the events related to an hour occur?,,"J STAFFORD You've been here an hour and you're asking us to trust you with our lives, Mr. -- MENDEZ Harkins."
What is the main point about J?,,"J STAFFORD You've been here an hour and you're asking us to trust you with our lives, Mr. -- MENDEZ Harkins."
What is the main point about J?,,J STAFFORD Is that your real name? A beat.
What is the main point about MENDEZ?,,MENDEZ No. (CONTINUED) ARGO - Final 71.
What is the main point about CONTINUED?,,"184 CONTINUED: 184 J Stafford nods, as if this has proven a point."
Who or what is Kathy?,,"He gs back into the living room, followed by Kathy."
What is the main point about living?,,"He gs back into the living room, followed by Kathy."
Who or what is PHOTOGRAPH?,,ANGLE ON THE PHOTOGRAPH in the Tehran Times.
Who or what is the Tehran Times?,,ANGLE ON THE PHOTOGRAPH in the Tehran Times.
What is the main point about ANGLE?,,ANGLE ON THE PHOTOGRAPH in the Tehran Times.
What is the main point about MAN?,,A MAN IN A SUIT at Mehrabad Airport.
What is the main point about gunpoint?,,"Terrified, being led out at gunpoint."
Who or what is EXT?,,185 EXT.
What is the main point about EXT?,,185 EXT.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - VERANDA - NIGHT 185 Mendez comes out and lights a cigarette.
Who or what is Ken Taylor?,,Ken Taylor is already there.
What is the main point about Ken?,,Ken Taylor is already there.
Who or what is TAYLOR?,,TAYLOR We've got orders to close the embassy and go back.
What is the main point about orders?,,TAYLOR We've got orders to close the embassy and go back.
Who or what is INT?,,186 INT.
What is the main point about INT?,,186 INT.
What is the main point about AMBASSADOR?,,"CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 186 NIGHT J STAFFORD I'm serious, too."
What is the main point about BOB?,,"This is what? BOB ANDERS J STAFFORD Don't do this, J... ..."
What is the main point about part?,,"the part where we say, That's so crazy it just might work'? C'mon..."
Who or what is Burma?,,BOB ANDERS I saw it in Burma.
What is the main point about BOB?,,BOB ANDERS I saw it in Burma.
What is the main point about people?,,They get people out.
Who or what is J STAFFORD Snitches?,,J STAFFORD Snitches in banana republics.
Who or what is republics?,,J STAFFORD Snitches in banana republics.
What is the main point about J?,,J STAFFORD Snitches in banana republics.
What is the main point about border?,,They get them over the border after the coup...
What is the main point about BOB?,,BOB ANDERS J STAFFORD That's your opinion.
What is the main point about guards?,,... pay the guards at the crossing a hundred bucks to look the other way...
What is the main point about MARK?,,MARK LIJEK His opinion got us out of the embassy in the first place.
Who or what is EXT?,,ARGO - Final 72. 187 EXT.
What is the main point about ARGO?,,ARGO - Final 72. 187 EXT.
What is the main point about AMBASSADOR?,,"CANADIAN AMBASSADOR'S RESIDENCE - VERANDA - NIGHT 187 MENDEZ If we go, you need to leave immediately."
Who or what is TAYLOR Pat?,,There's a DANGER -- TAYLOR Pat and I discussed it.
What is the main point about DANGER?,,There's a DANGER -- TAYLOR Pat and I discussed it.
What is the main point about airport?,,"If they catch you at the airport, they come here and we go on trial for harboring the enemy."
What is the main point about risk?,,It's a risk we took.
What is the main point about moment?,,(after a moment) Can you pull this off? MENDEZ I don't know.
Who or what is INT?,,188 INT.
What is the main point about INT?,,188 INT.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 188 NIGHT J STAFFORD -- even if they do.
What is the main point about passports?,,"We go out there with fake passports, we're spies, period, execution."
When did the events related to A month occur?,,"CORA LIJEK So how long do we stay? A month? A year? J STAFFORD That man out there, he's got bad cards, he's gonna lose."
When did the events related to A year occur?,,"CORA LIJEK So how long do we stay? A month? A year? J STAFFORD That man out there, he's got bad cards, he's gonna lose."
What is the main point about LIJEK?,,"CORA LIJEK So how long do we stay? A month? A year? J STAFFORD That man out there, he's got bad cards, he's gonna lose."
What is the main point about lives?,,"If he loses, it's our lives."
Who or what is KATHY STAFFORD?,,KATHY STAFFORD (after a beat) And his life too.
What is the main point about KATHY?,,KATHY STAFFORD (after a beat) And his life too.
What is the main point about beat?,,Another beat.
What is the main point about ANGLES?,,ANGLES ON the Houseguests.
What is the main point about CUT?,,CUT TO: 189 OMITTED 189 ARGO - Final 73.
Who or what is INT?,,189A INT.
What is the main point about 189A?,,189A INT.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 189A NIGHT MENDEZ Your cover identities were created specifically for each one of you.
Who or what is Houseguest?,,"Mendez, now dressed to leave, is handing each Houseguest an envelope."
What is the main point about Mendez?,,"Mendez, now dressed to leave, is handing each Houseguest an envelope."
What is the main point about MENDEZ?,,MENDEZ What I need you to do is memorize everything inside.
Who or what is Cora Lijek?,,Cora Lijek looks at a document from inside her envelope.
What is the main point about Cora?,,Cora Lijek looks at a document from inside her envelope.
Who or what is the Canadian Writers Guild?,,A union card for the Canadian Writers Guild with her picture on it.
What is the main point about union?,,A union card for the Canadian Writers Guild with her picture on it.
What is the main point about MENDEZ?,,"MENDEZ When we're done, you'll know these so well that you'll dream as these people."
What is the main point about Mendez?,,"Mendez nods at them, and gs."
Who or what is J Stafford?,,"The Houseguests look at what's inside their envelopes -- all except J Stafford, whose envelope remains sealed."
What is the main point about Houseguests?,,"The Houseguests look at what's inside their envelopes -- all except J Stafford, whose envelope remains sealed."
Who or what is INT?,,190 INT.
What is the main point about INT?,,190 INT.
Who or what is SHERATON HOTEL - NIGHT?,,"SHERATON HOTEL - NIGHT 190 A TELEFAX MACHINE spells out a message, letter by letter: MR KEVIN HARKINS - CARE OF HOTEL SHERATON."
Who or what is KEVIN HARKINS - CARE?,,"SHERATON HOTEL - NIGHT 190 A TELEFAX MACHINE spells out a message, letter by letter: MR KEVIN HARKINS - CARE OF HOTEL SHERATON."
What is the main point about SHERATON?,,"SHERATON HOTEL - NIGHT 190 A TELEFAX MACHINE spells out a message, letter by letter: MR KEVIN HARKINS - CARE OF HOTEL SHERATON."
Who or what is INT?,,191 OMITTED 191 192 INT.
What is the main point about INT?,,191 OMITTED 191 192 INT.
Who or what is Tony?,,SHERATON ROOM - NIGHT 192 Tony is PREPPING the CANADIAN PASSPORTS -- expertly copying Farsi stamps with a small sharpened stick.
Who or what is Farsi?,,SHERATON ROOM - NIGHT 192 Tony is PREPPING the CANADIAN PASSPORTS -- expertly copying Farsi stamps with a small sharpened stick.
What is the main point about SHERATON?,,SHERATON ROOM - NIGHT 192 Tony is PREPPING the CANADIAN PASSPORTS -- expertly copying Farsi stamps with a small sharpened stick.
What is the main point about KNOCK?,,A KNOCK on the door.
Who or what is Tony?,,Tony hides the passports.
What is the main point about Tony?,,Tony hides the passports.
What is the main point about door?,,Answers the door.
What is the main point about BELLHOP?,,"BELLHOP Sir, a telex arrived for you."
Who or what is Tony?,,The BELLHOP hands Tony a piece of paper.
What is the main point about BELLHOP?,,The BELLHOP hands Tony a piece of paper.
What is the main point about CUT?,,CUT TO: ARGO - Final 74.
Who or what is INT?,,193 INT.
What is the main point about INT?,,193 INT.
When did the events related to 1978 occur?,,SHERATON ROOM - NIGHT 193 Mendez takes a small 1978 model radio out of his suitcase.
What is the main point about SHERATON?,,SHERATON ROOM - NIGHT 193 Mendez takes a small 1978 model radio out of his suitcase.
What is the main point about casing?,,He unscrews the casing and from inside takes out what looks like a 6-inch transistor board for the radio.
What is the main point about side?,,On either side of the board: telephone jacks.
What is the main point about cords?,,He detaches the cords from the hotel phone and plugs them into the jacks on the transistor board.
What is the main point about phone?,,It's a phone scrambler.
Who or what is V.O.?,,MENDEZ (V.O.) The Minister of Culture and Guidance has approved your location scout.' 194 INT.
Who or what is INT?,,MENDEZ (V.O.) The Minister of Culture and Guidance has approved your location scout.' 194 INT.
What is the main point about MENDEZ?,,MENDEZ (V.O.) The Minister of Culture and Guidance has approved your location scout.' 194 INT.
Who or what is Khayyam?,,phone -- MENDEZ (reading the telefax) He will send a representative to meet you and your crew at the Khayyam entrance to the Grand Bazaar tomorrow at 3 PM.' INTERCUT WITH: 195 INT.
When did the events related to tomorrow occur?,,He will send a representative to meet you and your crew at the Khayyam entrance to the Grand Bazaar tomorrow at 3 PM.' INTERCUT WITH: 195 INT.
